bron_sbi_code|bron_omschrijving|cbs_sbi_code|q1|q2|q3
2|Geen bedrijfsactiviteit(en)||Geen bedrijfsactiviteit(en)|Geen bedrijfsactiviteit(en)|
111|Teelt van granen, peulvruchten en oliehoudende zaden|111|landbouw|teelt eenjarige gewassen|Teelt van granen, peulvruchten en oliehoudende zaden
113|Teelt van groenten en wortel- en knolgewassen|113|landbouw|teelt eenjarige gewassen|
1131|Teelt van groenten in de volle grond|1131|landbouw|teelt eenjarige gewassen|Teelt van groenten in volle grond
1131|Teelt van groenten in volle grond|1131|landbouw|teelt eenjarige gewassen|Teelt van groenten in volle grond
1132|Teelt van groenten onder glas|1132|landbouw|teelt eenjarige gewassen|Teelt van groenten onder glas
1133|Teelt van paddenstoelen|1133|landbouw|teelt eenjarige gewassen|Teelt van paddenstoelen
1134|Teelt van aardappels en overige wortel- en knolgewassen|1134|landbouw|teelt eenjarige gewassen|Teelt van aardappels en overige wortel- en knolgewassen
119|Teelt van overige eenjarige gewassen|119|landbouw|teelt eenjarige gewassen|
1191|Teelt van snijbloemen en snijheesters in de volle grond|1191|landbouw|teelt eenjarige gewassen|Teelt van snijbloemen en snijheesters in de volle grond
1192|Teelt van snijbloemen en snijheesters onder glas|1192|landbouw|teelt eenjarige gewassen|Teelt van snijbloemen en snijheesters onder glas
1193|Teelt van voedergewassen|1193|landbouw|teelt eenjarige gewassen|Teelt van voedergewassen
1199|Teelt van overige eenjarige gewassen (rest)|1199|landbouw|teelt eenjarige gewassen|Teelt van overige eenjarige gewassen (rest)
121|Druiventeelt|121|landbouw|teelt meerjarige gewassen|Teelt van druiven
124|Teelt van pit- en steenvruchten|124|landbouw|teelt meerjarige gewassen|
1241|Teelt van appels en peren|1241|landbouw|teelt meerjarige gewassen|Teelt van appels en peren
1242|Teelt van steenvruchten|1242|landbouw|teelt meerjarige gewassen|Teelt van steenvruchten
125|Teelt van overige boomvruchten, kleinfruit en noten|125|landbouw|teelt meerjarige gewassen|
1251|Teelt van aardbeien in de volle grond|1251|landbouw|teelt meerjarige gewassen|Teelt van aardbeien in de volle grond
1252|Teelt van aardbeien onder glas|1252|landbouw|teelt meerjarige gewassen|Teelt van aardbeien onder glas
1253|Teelt van houtig klein fruit in de volle grond (incl. overige boomvruchten en noten)|1253|landbouw|teelt meerjarige gewassen|Teelt van houtig klein fruit in de volle grond (incl. overige boomvruchten en noten)
1253|Teelt van houtig kleinfruit in de volle grond (incl. overige boomvruchten en noten)|1253|landbouw|teelt meerjarige gewassen|Teelt van houtig klein fruit in de volle grond (incl. overige boomvruchten en noten)
1254|Teelt van houtig klein fruit onder glas|1254|landbouw|teelt meerjarige gewassen|Teelt van houtig klein fruit onder glas
128|Teelt van specerijgewassen en van aromatische en medicinale gewassen|128|landbouw|teelt meerjarige gewassen|Teelt van specerijgewassen en van aromatische en medicinale gewassen
129|Teelt van overige meerjarige gewassen|129|landbouw|teelt meerjarige gewassen|Teelt van overige meerjarige gewassen
130|Teelt van sierplanten|130|landbouw|teelt sierplanten|
1301|Teelt van bloembollen|1301|landbouw|teelt sierplanten|Teelt van bloembollen
1302|Teelt van perkplanten in de volle grond|1302|landbouw|teelt sierplanten|Teelt van perkplanten in de volle grond
1303|Teelt van perkplanten onder glas|1303|landbouw|teelt sierplanten|Teelt van perkplanten onder glas
1304|Teelt van potplanten onder glas|1304|landbouw|teelt sierplanten|Teelt van potplanten onder glas
1305|Teelt van boomkwekerijgewassen in de volle grond|1305|landbouw|teelt sierplanten|Teelt van boomkwekerijgewassen in de volle grond
1309|Teelt van overige sierplanten in de volle grond|1309|landbouw|teelt sierplanten|Teelt van overige sierplanten in de volle grond
141|Fokken en houden van melkvee|141|landbouw|fokken, houden dieren|
1411|Houden van melkvee|1411|landbouw|fokken, houden dieren|Houden van melkvee
1412|Opfokken van jongvee voor de melkveehouderij|1412|landbouw|fokken, houden dieren|Opfokken van jongvee voor de melkveehouderij
142|Fokken en houden van runderen (geen melkvee)|142|landbouw|fokken, houden dieren|
1421|Houden van vleeskalveren|1421|landbouw|fokken, houden dieren|Houden van vleeskalveren
1422|Overige vleesveehouderij en zoogkoeienbedrijven|1422|landbouw|fokken, houden dieren|Overige vleesveehouderij en zoogkoeienbedrijven
143|Fokken en houden van paarden en ezels|143|landbouw|fokken, houden dieren|Fokken en houden van paarden en ezels
145|Fokken en houden van schapen en geiten|145|landbouw|fokken, houden dieren|
1451|Fokken en houden van schapen|1451|landbouw|fokken, houden dieren|Fokken en houden van schapen
1452|Fokken en houden van geiten|1452|landbouw|fokken, houden dieren|Fokken en houden van geiten
1462|Vleesvarkensbedrijven|1462|landbouw|fokken, houden dieren|Vleesvarkensbedrijven
149|Fokken en houden van overige dieren|149|landbouw|fokken, houden dieren|
1491|Fokken en houden van edelpelsdieren|1491|landbouw|fokken, houden dieren|Fokken en houden van edelpelsdieren
1499|Fokken en houden van overige dieren (rest)|1499|landbouw|fokken, houden dieren|Fokken en houden van overige dieren (rest)
150|Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren|150|landbouw|gemengd bedrijf|Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren
161|Dienstverlening voor de akker- en/of tuinbouw|161|landbouw|dienstverlening voor de land/tuinbouw|Dienstverlening voor de akker- en/of tuinbouw
162|Dienstverlening voor het fokken en houden van dieren|162|landbouw|dienstverlening voor de land/tuinbouw|Dienstverlening voor het fokken en houden van dieren
164|Behandeling van zaden voor vermeerdering|164|landbouw|dienstverlening voor de land/tuinbouw|Behandeling van zaden voor vermeerdering
170|Jacht|170|overige niet hierboven genoemd|overige|Jacht
210|Bosbouw|210|overige niet hierboven genoemd|overige|Bosbouw
220|Exploitatie van bossen|220|overige niet hierboven genoemd|overige|Exploitatie van bossen
240|Dienstverlening voor de bosbouw|240|overige niet hierboven genoemd|overige|Dienstverlening voor de bosbouw
311|Zee- en kustvisserij|311|overige niet hierboven genoemd|overige|Zee- en kustvisserij
312|Binnenvisserij|312|overige niet hierboven genoemd|overige|Binnenvisserij
322|Kweken van zoetwatervis en -schaaldieren|322|overige niet hierboven genoemd|overige|Kweken van zoetwatervis en -schaaldieren
610|Winning van aardolie|610|overige niet hierboven genoemd|overige|Winning van aardolie
620|Winning van aardgas|620|overige niet hierboven genoemd|overige|Winning van aardgas
812|Winning van zand, grind en klei|812|overige niet hierboven genoemd|overige|Winning van zand, grind en klei
899|Winning van overige delfstoffen n.e.g.|899|overige niet hierboven genoemd|overige|Winning van overige delfstoffen (rest)
910|Dienstverlening voor de winning van aardolie en aardgas|910|overige niet hierboven genoemd|overige|Dienstverlening voor de winning van aardolie- en aardgas
990|Dienstverlening voor de winning van delfstoffen (geen olie en gas)|990|overige niet hierboven genoemd|overige|Dienstverlening voor de winning van delfstoffen (geen olie en gas)
1011|Slachterijen (geen pluimvee-)|1011|productie, installatie, reparatie|productie|Slachterijen (geen pluimvee)
1012|Pluimveeslachterijen|1012|productie, installatie, reparatie|productie|Pluimveeslachterijen
1013|Vleesverwerking (niet tot maaltijden)|1013|productie, installatie, reparatie|productie|Vleesverwerking (niet tot maaltijden)
1020|Visverwerking|1020|productie, installatie, reparatie|productie|Visverwerking
1031|Vervaardiging van aardappelproducten|1031|productie, installatie, reparatie|productie|Vervaardiging van aardappelprodukten
1032|Vervaardiging van fruit- en groentesap|1032|productie, installatie, reparatie|productie|Vervaardiging van fruit- en groentesap
1039|Verwerking van groente en fruit (niet tot sap en maaltijden)|1039|productie, installatie, reparatie|productie|Verwerking van groente en fruit (niet tot sap en maaltijden)
1041|Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten)|1041|productie, installatie, reparatie|productie|Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten)
1051|Vervaardiging van zuivelproducten (geen consumptie-ijs)|1051|productie, installatie, reparatie|productie|Vervaardiging van zuivelproducten (geen consumptie-ijs)
1052|Vervaardiging van consumptie-ijs|1052|productie, installatie, reparatie|productie|vervaardiging van consumptie-ijs
1061|Vervaardiging van meel (geen zetmeel)|1061|productie, installatie, reparatie|productie|Vervaardiging van meel (geen zetmeel)
