"manual_q2_node"; "code";"title"
"productie"; "2351";Vervaardiging van cement
"productie"; "2053";Vervaardiging van etherische oliën
"productie"; "2059";Vervaardiging van overige chemische producten (rest)
"productie"; "2060";Vervaardiging van synthetische en kunstmatige vezels
"productie"; "2110";Vervaardiging van farmaceutische grondstoffen
"productie"; "2120";Vervaardiging van farmaceutische producten (geen grondstoffen)
"productie"; "2211";Vervaardiging van rubberbanden en loopvlakvernieuwing
"productie"; "2219";Vervaardiging van producten van rubber (geen banden)
"productie"; "2352";Vervaardiging van kalk en gips
"productie"; "2221";"Vervaardiging van platen, folie , buizen en profielen van kunststof"
"productie"; "2222";Vervaardiging van verpakkingsmiddelen van kunststof
"productie"; "2223";Vervaardiging van kunststofproducten voor de bouw
"productie"; "2229";Vervaardiging van overige producten van kunststof
"productie"; "2311";Vervaardiging van vlakglas
"productie"; "2312";Vormen en bewerken van vlakglas
"productie"; "2313";Vervaardiging van holglas
"productie"; "2314";Vervaardiging van glasvezels
"productie"; "2319";"Vervaardiging en bewerking van overig glas, inclusief technisch glaswerk"
"productie"; "2320";Vervaardiging van vuurvaste keramische producten
"productie"; "2331";Vervaardiging van keramische tegels en plavuizen
"productie"; "2332";Vervaardiging van keramische producten voor de bouw (geen tegels en plavuizen)
"productie"; "2341";Vervaardiging van huishoudelijk en sieraardewerk
"productie"; "2342";Vervaardiging van sanitair aardewerk
"productie"; "2343";Vervaardiging van isolatoren en isolatiemateriaal van keramische stoffen
"productie"; "2344";Vervaardiging van overig technisch aardewerk
"productie"; "2349";Vervaardiging van overige keramische producten (rest)
"productie"; "2361";Vervaardiging van producten van beton voor de bouw en van kalkzandsteen
"productie"; "23611";Vervaardiging van producten van beton voor de bouw
"productie"; "23612";Vervaardiging van kalkzandsteen
"productie"; "2362";Vervaardiging van producten van gips voor de bouw
"productie"; "2363";Vervaardiging van stortklare beton
"productie"; "2364";Vervaardiging van mortel in droge vorm
"productie"; "2365";Vervaardiging van producten van vezelcement
"productie"; "2369";"Vervaardiging van overige producten van beton, gips en cement"
"productie"; "2370";Natuursteenbewerking
"productie"; "2391";"Vervaardiging van schuur-, slijp- en polijstmiddelen"
"productie"; "2399";"Vervaardiging van overige niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen)"
"productie"; "2410";Vervaardiging van ijzer en staal en van ferrolegeringen
"productie"; "2420";"Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor"
